date,hour,location,gross_sales,net_sales,items,transactions,customers
2015-01-11,10,The Dram Shop,1,1,1,1,0
2015-03-26,13,The Dram Shop,40,0,2,1,0
2015-03-26,14,The Dram Shop,0,0,3,3,0
2015-03-26,15,The Dram Shop,17,0,3,3,0
2015-03-26,16,The Dram Shop,151.5,25.5,30,25,0
2015-03-26,17,The Dram Shop,302.5,228.5,54,33,0
2015-03-26,18,The Dram Shop,432,328.5,77,54,0
2015-03-26,19,The Dram Shop,321.5,297,45,23,0
2015-03-26,20,The Dram Shop,487.5,464.5,65,24,0
2015-03-26,21,The Dram Shop,270,270,43,19,0
2015-03-27,11,The Dram Shop,38,38,4,2,0
2015-03-27,12,The Dram Shop,93,93,7,3,0
2015-03-27,13,The Dram Shop,57.5,57.5,8,4,0
2015-03-27,14,The Dram Shop,40,40,8,5,0
2015-03-27,15,The Dram Shop,98,92.7,13,9,0
2015-03-27,16,The Dram Shop,210.25,210.25,39,21,0
2015-03-27,17,The Dram Shop,369.25,369.25,57,31,0
2015-03-27,18,The Dram Shop,627.75,627.75,106,43,0
2015-03-27,19,The Dram Shop,503,503,79,33,1
2015-03-27,20,The Dram Shop,427.5,427.5,66,36,0
2015-03-27,21,The Dram Shop,350.75,350.75,63,31,0
2015-03-27,22,The Dram Shop,49,49,8,3,0
2015-03-28,12,The Dram Shop,42.5,42.5,9,5,0
2015-03-28,13,The Dram Shop,78.5,78.5,11,8,0
2015-03-28,14,The Dram Shop,105.25,105.25,17,9,0
2015-03-28,15,The Dram Shop,194.5,194.5,25,16,0
2015-03-28,16,The Dram Shop,324,324,47,21,0
2015-03-28,17,The Dram Shop,246,246,43,18,0
2015-03-28,18,The Dram Shop,499,499,81,38,0
2015-03-28,19,The Dram Shop,169.25,169.25,31,15,0
2015-03-28,20,The Dram Shop,351.5,351.5,55,32,0
2015-03-28,21,The Dram Shop,289.5,289.5,51,35,0
2015-03-28,22,The Dram Shop,120,120,34,16,0
2015-03-29,12,The Dram Shop,107,107,8,4,0
2015-03-29,13,The Dram Shop,167.25,167.25,22,7,0
2015-03-29,14,The Dram Shop,242.5,242.5,42,14,0
2015-03-29,15,The Dram Shop,201.5,201.5,39,15,0
2015-03-29,16,The Dram Shop,220.5,220.5,34,16,0
2015-03-29,17,The Dram Shop,315.75,315.75,53,19,0
2015-03-29,18,The Dram Shop,172.5,172.5,24,8,0
2015-03-31,12,The Dram Shop,0,0,1,1,0
2015-03-31,13,The Dram Shop,81,81,13,6,0
2015-03-31,15,The Dram Shop,101.25,101.25,24,15,0
2015-03-31,16,The Dram Shop,128,128,22,13,0
2015-03-31,17,The Dram Shop,280,280,49,28,0
2015-03-31,18,The Dram Shop,322,322,48,23,0
2015-03-31,19,The Dram Shop,224,224,43,19,0
2015-03-31,20,The Dram Shop,252.5,202.5,40,18,0
2015-03-31,21,The Dram Shop,138.5,138.5,26,8,0
2015-04-01,13,The Dram Shop,14.5,14.5,2,2,0
2015-04-01,14,The Dram Shop,56,56,9,8,0
2015-04-01,15,The Dram Shop,11,11,3,2,0
2015-04-01,16,The Dram Shop,66,66,10,7,0
2015-04-01,17,The Dram Shop,261.5,261.5,37,21,0
2015-04-01,18,The Dram Shop,227.5,227.5,41,19,0
2015-04-01,19,The Dram Shop,272.75,272.75,53,19,0
2015-04-01,20,The Dram Shop,214.5,214.5,41,18,0
2015-04-01,21,The Dram Shop,81,59.5,16,9,0
2015-04-02,12,The Dram Shop,10,10,1,1,0
2015-04-02,13,The Dram Shop,112.5,112.5,10,3,0
2015-04-02,14,The Dram Shop,35,35,5,4,0
2015-04-02,15,The Dram Shop,104,104,18,4,0
2015-04-02,16,The Dram Shop,138.5,138.5,24,12,0
2015-04-02,17,The Dram Shop,227,227,47,28,0
2015-04-02,18,The Dram Shop,278.5,278.5,59,33,0
2015-04-02,19,The Dram Shop,397,397,83,37,0
2015-04-02,20,The Dram Shop,202.75,202.75,34,18,1
2015-04-02,21,The Dram Shop,131.5,103.5,23,13,0
2015-04-02,22,The Dram Shop,0,0,1,1,0
2015-04-03,12,The Dram Shop,10,10,1,1,0
2015-04-03,13,The Dram Shop,34.5,34.5,6,4,0
2015-04-03,14,The Dram Shop,129,129,26,15,0
2015-04-03,15,The Dram Shop,106,106,20,7,0
2015-04-03,16,The Dram Shop,137.75,137.75,25,19,0
2015-04-03,17,The Dram Shop,711,711,121,59,0
2015-04-03,18,The Dram Shop,807.5,807.5,141,64,0
2015-04-03,19,The Dram Shop,612,612,111,53,0
2015-04-03,20,The Dram Shop,669.25,669.25,130,54,0
2015-04-03,21,The Dram Shop,317,313.5,54,32,0
2015-04-03,22,The Dram Shop,94.5,83.5,18,8,0
2015-04-04,12,The Dram Shop,72,72,5,3,0
2015-04-04,13,The Dram Shop,73.25,68.75,13,5,0
2015-04-04,14,The Dram Shop,98.5,98.5,15,6,0
2015-04-04,15,The Dram Shop,252.5,252.5,38,17,0
2015-04-04,16,The Dram Shop,240,240,41,24,0
2015-04-04,17,The Dram Shop,348,348,52,21,0
2015-04-04,18,The Dram Shop,392.5,392.5,62,25,0
2015-04-04,19,The Dram Shop,275.75,275.75,50,21,0
2015-04-04,20,The Dram Shop,205.75,205.75,36,17,0
2015-04-04,21,The Dram Shop,162,156,30,17,0
2015-04-04,22,The Dram Shop,98,98,13,6,0
2015-04-07,13,The Dram Shop,20,20,4,2,0
2015-04-07,14,The Dram Shop,40,40,7,5,0
2015-04-07,15,The Dram Shop,54.5,54.5,10,3,0
2015-04-07,16,The Dram Shop,124.5,124.5,22,14,0
2015-04-07,17,The Dram Shop,284.5,284.5,60,28,0
2015-04-07,18,The Dram Shop,311,311,65,32,0
2015-04-07,19,The Dram Shop,335,335,59,23,0
2015-04-07,20,The Dram Shop,304,304,55,25,1
2015-04-07,21,The Dram Shop,31.5,31.5,10,4,0
2015-04-08,14,The Dram Shop,40.5,40.5,8,5,0
2015-04-08,15,The Dram Shop,22,22,2,2,0
2015-04-08,16,The Dram Shop,63.5,63.5,11,7,0
2015-04-08,17,The Dram Shop,283.5,283.5,43,29,0
2015-04-08,18,The Dram Shop,243.5,243.5,46,28,0
2015-04-08,19,The Dram Shop,202.5,202.5,37,17,0
2015-04-08,20,The Dram Shop,263,263,52,22,0
2015-04-08,21,The Dram Shop,18,18,2,2,0
2015-04-09,12,The Dram Shop,16,16,3,2,0
2015-04-09,13,The Dram Shop,53,53,6,5,0
2015-04-09,14,The Dram Shop,31,31,3,2,0
2015-04-09,15,The Dram Shop,25,25,5,2,0
2015-04-09,16,The Dram Shop,23,23,4,2,0
2015-04-09,17,The Dram Shop,261.5,261.5,48,31,0
2015-04-09,18,The Dram Shop,314,314,42,23,0
2015-04-09,19,The Dram Shop,328.25,328.25,65,34,0
2015-04-09,20,The Dram Shop,302,296,56,26,0
2015-04-09,21,The Dram Shop,83,83,19,8,0
2015-04-10,12,The Dram Shop,45,18,10,3,0
2015-04-10,13,The Dram Shop,64,64,11,9,0
2015-04-10,14,The Dram Shop,82,82,15,9,0
2015-04-10,15,The Dram Shop,181,181,22,12,0
2015-04-10,16,The Dram Shop,372,372,70,40,0
2015-04-10,17,The Dram Shop,590.5,581.5,103,55,0
2015-04-10,18,The Dram Shop,509.75,505.75,84,38,0
2015-04-10,19,The Dram Shop,462.5,458.5,80,41,1
2015-04-10,20,The Dram Shop,361,361,65,35,0
2015-04-10,21,The Dram Shop,463.5,463.5,71,34,0
2015-04-10,22,The Dram Shop,99,86,22,9,0
2015-04-11,13,The Dram Shop,138,138,19,12,0
2015-04-11,14,The Dram Shop,109,109,22,9,0
2015-04-11,15,The Dram Shop,224,224,35,17,0
2015-04-11,16,The Dram Shop,359.5,359.5,64,35,0
2015-04-11,17,The Dram Shop,276,262,46,28,0
2015-04-11,18,The Dram Shop,487,487,85,34,0
2015-04-11,19,The Dram Shop,472,456,90,32,1
2015-04-11,20,The Dram Shop,392.25,392.25,73,35,0
2015-04-11,21,The Dram Shop,327.25,327.25,63,37,0
2015-04-11,22,The Dram Shop,97,89,20,5,0
2015-04-12,12,The Dram Shop,45.5,45.5,6,4,0
2015-04-12,13,The Dram Shop,175.5,171,21,12,0
2015-04-12,14,The Dram Shop,133,133,18,9,0
2015-04-12,15,The Dram Shop,218,218,40,15,0
2015-04-12,16,The Dram Shop,349,349,71,33,0
2015-04-12,17,The Dram Shop,629,629,95,35,0
2015-04-12,18,The Dram Shop,134,134,22,8,0
2015-04-14,11,The Dram Shop,24,0,1,1,0
2015-04-14,13,The Dram Shop,125.5,125.5,12,4,0
2015-04-14,14,The Dram Shop,136,136,15,6,0
2015-04-14,15,The Dram Shop,67,67,4,4,0
2015-04-14,16,The Dram Shop,229,229,39,17,1
2015-04-14,17,The Dram Shop,237,237,39,19,0
2015-04-14,18,The Dram Shop,286.25,286.25,55,35,0
2015-04-14,19,The Dram Shop,298.75,298.75,54,23,0
2015-04-14,20,The Dram Shop,274.25,274.25,49,21,0
2015-04-14,21,The Dram Shop,72.5,72.5,14,4,0
2015-04-15,13,The Dram Shop,43.5,43.5,7,5,0
2015-04-15,14,The Dram Shop,204.25,204.25,30,7,1
2015-04-15,15,The Dram Shop,38,38,10,6,0
2015-04-15,16,The Dram Shop,89.5,89.5,14,9,0
2015-04-15,17,The Dram Shop,432.25,420.25,68,26,0
2015-04-15,18,The Dram Shop,317,317,60,34,0
2015-04-15,19,The Dram Shop,295.5,295.5,56,33,0
2015-04-15,20,The Dram Shop,431.5,402.12,78,35,0
2015-04-15,21,The Dram Shop,56.5,56.5,12,6,0
2015-04-16,12,The Dram Shop,9,9,2,1,0
2015-04-16,13,The Dram Shop,84.5,84.5,11,6,0
2015-04-16,14,The Dram Shop,77,77,7,5,0
2015-04-16,15,The Dram Shop,124.5,124.5,18,9,0
2015-04-16,16,The Dram Shop,230.5,230.5,35,21,0
2015-04-16,17,The Dram Shop,286,286,50,36,0
2015-04-16,18,The Dram Shop,329,329,61,43,0
2015-04-16,19,The Dram Shop,276,276,55,31,0
2015-04-16,20,The Dram Shop,261,244,46,19,1
2015-04-16,21,The Dram Shop,201.5,181.5,38,14,0
2015-04-17,12,The Dram Shop,111.5,111.5,12,5,0
2015-04-17,13,The Dram Shop,112.5,62.5,9,7,0
2015-04-17,14,The Dram Shop,182.5,177,26,15,0
2015-04-17,15,The Dram Shop,276,276,39,18,0
2015-04-17,16,The Dram Shop,306.25,306.25,49,27,0
2015-04-17,17,The Dram Shop,515.5,515.5,79,42,0
2015-04-17,18,The Dram Shop,475.5,475.5,80,28,0
2015-04-17,19,The Dram Shop,539.25,539.25,93,39,0
2015-04-17,20,The Dram Shop,452.5,452.5,78,41,1
2015-04-17,21,The Dram Shop,333,333,53,31,0
2015-04-17,22,The Dram Shop,177.5,151,24,11,0
2015-04-18,12,The Dram Shop,111.5,111.5,12,8,0
2015-04-18,13,The Dram Shop,332.25,332.25,42,24,0
2015-04-18,14,The Dram Shop,234.75,214.75,37,17,0
2015-04-18,15,The Dram Shop,233.5,229.5,40,25,0
2015-04-18,16,The Dram Shop,307,304,54,27,0
2015-04-18,17,The Dram Shop,383,383,62,36,0
2015-04-18,18,The Dram Shop,382.5,380.5,69,35,0
2015-04-18,19,The Dram Shop,518.25,514.25,84,39,0
2015-04-18,20,The Dram Shop,360,356,63,32,1
2015-04-18,21,The Dram Shop,314.75,314.75,48,23,1
2015-04-18,22,The Dram Shop,222.5,218.5,38,16,0
2015-04-18,23,The Dram Shop,0,0,1,1,0
2015-04-19,12,The Dram Shop,52,52,7,4,0
2015-04-19,13,The Dram Shop,67,67,11,6,0
2015-04-19,14,The Dram Shop,115,115,15,7,0
2015-04-19,15,The Dram Shop,45.25,42.75,10,5,0
2015-04-19,16,The Dram Shop,317,317,51,27,0
2015-04-19,17,The Dram Shop,168.5,156.5,23,9,0
2015-04-19,18,The Dram Shop,14,11.5,2,2,0
2015-04-21,9,The Dram Shop,40,40,2,1,0
2015-04-21,12,The Dram Shop,11,11,2,1,0
2015-04-21,13,The Dram Shop,11,11,1,1,0
2015-04-21,14,The Dram Shop,104.25,55.25,12,5,0
2015-04-21,15,The Dram Shop,33,33,6,4,0
2015-04-21,16,The Dram Shop,132,132,23,14,0
2015-04-21,17,The Dram Shop,176.5,176.5,36,24,0
2015-04-21,18,The Dram Shop,217.5,217.5,40,18,0
2015-04-21,19,The Dram Shop,265,256.5,47,18,0
2015-04-21,20,The Dram Shop,273.5,229.5,45,23,0
2015-04-21,21,The Dram Shop,90.5,90.5,14,8,0
2015-04-22,11,The Dram Shop,5,5,1,1,0
2015-04-22,12,The Dram Shop,27,27,7,1,0
2015-04-22,13,The Dram Shop,18,18,4,3,0
2015-04-22,14,The Dram Shop,23,23,4,4,0
2015-04-22,15,The Dram Shop,25,25,4,4,0
2015-04-22,16,The Dram Shop,180.5,180.5,21,13,0
2015-04-22,17,The Dram Shop,462,451.5,78,40,1
2015-04-22,18,The Dram Shop,274.5,274.5,47,25,0
2015-04-22,19,The Dram Shop,186.5,182,35,18,0
2015-04-22,20,The Dram Shop,327,315,52,23,1
2015-04-22,21,The Dram Shop,48,48,5,3,1
2015-04-23,10,The Dram Shop,62,62,3,1,0
2015-04-23,13,The Dram Shop,51,51,8,4,0
2015-04-23,14,The Dram Shop,33,33,6,4,0
2015-04-23,15,The Dram Shop,33,33,5,3,0
2015-04-23,16,The Dram Shop,88,88,13,8,0
2015-04-23,17,The Dram Shop,180.5,180.5,33,19,0
2015-04-23,18,The Dram Shop,165,165,29,14,0
2015-04-23,19,The Dram Shop,505,496,77,37,0
2015-04-23,20,The Dram Shop,281.5,281.5,50,30,0
2015-04-23,21,The Dram Shop,157.5,151.75,31,17,0
2015-04-24,11,The Dram Shop,88,0,4,2,0
2015-04-24,12,The Dram Shop,4,4,1,1,0
2015-04-24,13,The Dram Shop,25,25,5,3,0
2015-04-24,14,The Dram Shop,65,65,14,7,0
2015-04-24,15,The Dram Shop,206.5,206.5,33,16,0
2015-04-24,16,The Dram Shop,387,387,66,35,0
2015-04-24,17,The Dram Shop,465,465,80,39,0
2015-04-24,18,The Dram Shop,607.5,607.5,100,46,0
2015-04-24,19,The Dram Shop,616,616,99,46,1
2015-04-24,20,The Dram Shop,431,414,74,36,1
2015-04-24,21,The Dram Shop,261.25,261.25,47,21,0
2015-04-25,12,The Dram Shop,21,21,3,2,0
2015-04-25,13,The Dram Shop,158.5,158.5,21,10,0
2015-04-25,14,The Dram Shop,184.25,167.75,29,11,0
2015-04-25,15,The Dram Shop,162,162,27,15,0
2015-04-25,16,The Dram Shop,329,329,48,23,1
2015-04-25,17,The Dram Shop,499,499,83,35,0
